platform,n_photons,fock_dim,classical_s,device_s,device_over_classical,required_transmittance
ascella,2,276,0.000391902867264635,0.6298710024187046,1607.2120288759716,0.9781971956163024
ascella,3,2024,0.0008734396123510647,25.814385345028874,29554.859866663806,0.7543961462188892
ascella,4,10626,0.014281228358351342,1057.9666125011834,74080.92539060257,0.40254684394273005
ascella,5,42504,0.3479861927032471,43359.287397589476,124600.59711209596,0.2549727987271435
ascella,6,134596,7.9258697580352555,1777019.9753110441,224205.04368110507,0.19017965535744077
ascella,7,346104,166.43572782186075,72828687.51274769,437578.44824458356,0.15604683275340916
ascella,8,735471,3233.601481356884,2984782275.1126103,923051.9877978704,0.13584482435150386
ascella,9,1307504,58204.820257891566,122327142422.64796,2101666.8702118793,0.12299768116986719
ascella,10,1961256,970080.3317274669,5013407476338.031,5168033.318859712,0.11447808524735822
ascella,11,2496144,14939237.103176279,205467519522050.44,13753548.330681847,0.10872680407078673
ascella,12,2704156,211865544.36735052,8420799980411902.0,39745962.49502091,0.10487313351773567
belenos,2,276,0.000391902867264635,2.5924093700597317,6614.92830648057,3.9364789410879775
belenos,3,2024,0.0008734396123510647,53.56217706734984,61323.27445417189,1.9086244100219103
belenos,4,10626,0.014281228358351342,1106.6565509783024,77490.29167586657,0.807527248194508
belenos,5,42504,0.3479861927032471,22864.804772278978,65706.06895250423,0.44500660666985703
belenos,6,134596,7.9258697580352555,472413.3217413011,59603.97232901386,0.3024994312076798
belenos,7,346104,166.43572782186075,9760605.821101263,58644.895232760486,0.2322849683570898
belenos,8,735471,3233.601481356884,201665409.52688563,62365.573089193036,0.19240372520601134
belenos,9,1307504,58204.820257891566,4166640692.704249,71585.83557586581,0.16759868038419412
belenos,10,1961256,970080.3317274669,86087617617.8564,88742.77191514253,0.15123721127822734
belenos,11,2496144,14939237.103176279,1778669785492.9004,119060.28220910502,0.1400485823089807
belenos,12,2704156,211865544.36735052,36749375733324.39,173456.12210357902,0.13226486643706523
