,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.066,0.111,0.000,0.006,0.164,0.159,0.000,0.000,0.446,0.000,0.000
AR3,1.837,,0.002,0.000,0.000,0.451,0.657,0.000,0.000,0.691,0.000,0.000
HAR,-1.594,-3.140,,0.000,0.029,0.017,0.009,0.000,0.000,0.243,0.000,0.000
LSTM,4.124,3.851,4.374,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RC,-2.764,-3.641,-2.185,-5.114,,0.001,0.000,0.000,0.000,0.041,0.000,0.001
Classical-Ridge,1.392,0.754,2.382,-5.367,3.333,,0.683,0.000,0.000,0.936,0.000,0.000
HPT-QRC,1.409,0.444,2.595,-3.632,3.638,-0.408,,0.000,0.000,0.794,0.000,0.000
ARMAX,5.783,5.585,5.923,4.798,6.555,6.562,5.451,,0.000,0.000,0.000,0.000
HARX,-5.161,-5.376,-4.806,-6.772,-3.705,-5.315,-5.264,-7.767,,0.000,0.001,0.290
LSTMX,0.762,0.397,1.168,-7.941,2.044,0.080,0.261,-7.917,5.306,,0.000,0.000
RCX,-7.261,-7.465,-6.819,-8.752,-6.106,-7.455,-7.397,-9.460,-3.425,-7.558,,0.000
HPT-QRC-X,-5.021,-5.287,-4.587,-6.648,-3.451,-5.188,-5.344,-7.671,1.058,-5.010,3.839,
