n_photons,MSE_mean,MSE_std
1,0.007052196345884185,0.0005168680635689129
2,0.007059066593890982,0.0005272687057847877
3,0.007139093577339645,0.0005068284491362594
4,0.007188961327829248,0.00048007178988668416
