n_reservoirs,MSE_mean,MSE_std
1,0.007023584749357328,0.0005439728436649236
2,0.007103015301765094,0.0004895789285144845
3,0.007139093577339645,0.0005068284491362594
5,0.007244128275299667,0.0004987214910457643
