model,MSE_median,MSE_<lambda_0>,MSE_mean,MSE_std,MAE_median,MAE_<lambda_0>,MAE_mean,MAE_std,QLIKE_median,QLIKE_<lambda_0>,QLIKE_mean,QLIKE_std
AR1,0.006028996381135446,0.0020543736205933874,0.007195996988091185,0.0054871473021485895,0.055503367026497816,0.013392220187799467,0.06104481546351732,0.018201151189682185,0.00848288127588458,0.00532652541309093,0.0985901252981186,0.25450599851131583
AR3,0.005630744042186499,0.0016837139999417777,0.006691392209245198,0.004884772297874704,0.05511995255149304,0.010812983404320811,0.057696423619898546,0.013968676923195707,0.008554132262691281,0.004248044204052469,0.0962953649599002,0.24939540574717614
ESN,0.00657190104268956,0.005206511528012912,0.01251941036353779,0.016468366384914973,0.06168105871462615,0.02900992536958029,0.07847886170238141,0.052117062651043634,0.009718353231740515,0.017486760617540276,0.10304348124324327,0.24834621530727624
HAR,0.0053898194871543565,0.0020932815616695397,0.006508624179535809,0.00485055437081634,0.05506265372991429,0.010629811799788877,0.057132095459818115,0.014927645642246806,0.008571442990501974,0.004784836307055241,0.09602489913076562,0.24919393494506484
HARX,0.0058497768285404265,0.00213676669233971,0.006966435829639168,0.005348116944512908,0.05782359471780985,0.016295494634730838,0.06084126773968227,0.01648306187101827,0.009684605549509909,0.002513631488768082,0.09689578149475224,0.2499563202280534
HPT-QRC,0.00718899256065972,0.003828142237981973,0.007915541403190438,0.004312573647148635,0.06576627418051714,0.021479986364122475,0.06733096747470728,0.017926188303513307,0.011791609914856366,0.00972056711411031,0.09908418678848412,0.249569528357317
LSTM,0.014574091309280408,0.012086444048297765,0.014990695905957979,0.010893960663173496,0.09122175469242158,0.04951685653459593,0.08988121859332758,0.041098072748764064,0.02189664070365302,0.020467728329032334,0.10803229525686683,0.25136236556421715
RFF+Ridge,0.006820942759057251,0.0027606967881525658,0.00703693387322817,0.003966193488373197,0.06323445483287031,0.01523455453559637,0.06168584679490071,0.013660715732388928,0.009897520065429589,0.006068171777593446,0.09807310097797084,0.2513047009543134
