system,feature_dim,IPC_total,IPC_deg1,IPC_deg2,IPC_deg3
HPT-QRC (3 photons),95,52.376658904173865,4.996278421325073,14.886771868065955,32.493608614782836
"HPT-QRC-Hetero (2,3,4)",95,52.518875011250856,4.996422439325867,14.902325619613467,32.62012695231152
ESN res=200,202,50.92711976093608,5.993137801966498,20.38099746356472,24.552984495404857
ESN res=1000,1002,72.38069014387888,5.950751052044272,20.596142201670418,45.83379689016419
Random-Linear,100,8.61980216394457,4.999941401513294,0.0,3.6198607624312746
