n_shots,MSE,QLIKE
inf,0.005578720857402162,0.019029610020318312
100,0.33562255927092954,2.966005952469521
1000,0.03822456088321583,0.35196352422286803
10000,0.00841596007284302,0.034922003154899406
100000,0.0060336062528159075,0.020943734858721728
