Model,Train_s_mean,Train_s_std,MSE,Epochs
AR(3),0.0006348193370892355,0.00035223177378753865,0.006886416279374866,N/A (closed-form)
HAR,0.002350764009558285,0.00011384370693739617,0.006468120799503467,N/A (closed-form)
Classical-Ridge,0.0033776526688598096,0.0003617555969133683,0.007059759080898747,N/A (closed-form)
RC (ESN),0.006158722671292101,9.816580266537632e-05,0.0059803192253550476,N/A (closed-form)
LSTM,0.6850662920041941,0.0,0.008616131438248936,100 epochs
HPT-QRC (ours),0.9135380625084508,0.04438456249772571,0.006951673322511625,N/A (closed-form)
