model,p_value,in_mcs,elimination_order
HPT-QRC,0.184,True,-1
RFF+Ridge,0.184,True,-1
HPT-QRC-X,0.184,True,-1
RFF+Ridge-X,0.184,True,-1
AR1,0.0975,False,4
AR3,0.0975,False,8
HAR,0.0975,False,5
LSTM,0.0975,False,2
RC,0.0975,False,7
Classical-Ridge,0.0975,False,3
HARX,0.0975,False,6
RCX,0.0975,False,9
LSTMX,0.071,False,1
ARMAX,0.0,False,0
