photon_list,lex_out,dataset,MSE_mean,MSE_std,NRMSE_mean,NRMSE_std,QLIKE_mean,QLIKE_std,feature_dim
[2],30,NARMA10,0.006367220116016734,0.000727245529311644,0.7698723411922764,0.06602356239441197,0.020453654673695365,0.003544816078225148,90
[2],30,Mackey_Glass,1.5002221099319974e-06,3.7381640690670216e-07,0.005256199830487879,0.0007544823715782782,9.996251783580175e-07,1.9163882637174192e-07,90
[2],30,SP500_RV,0.004472942920866966,0.0004981611174342806,0.7397716859445094,0.04063674297701783,0.006384379932227146,0.0006483558962505112,90
[3],30,NARMA10,0.006614642257520643,0.0009762231031661369,0.7828098450949614,0.053855234303201084,0.02061070352465799,0.0028364754248127646,90
[3],30,Mackey_Glass,1.3918194135159915e-06,4.0141765228494083e-07,0.005056053933241675,0.0008256532269075866,9.350181562014135e-07,2.1606481776815506e-07,90
[3],30,SP500_RV,0.0043043233658296215,0.00025678954543228397,0.7262041152439229,0.02186141479775715,0.0062530430598423045,0.00039883614296281516,90
[4],30,NARMA10,0.007189005036417344,0.0019118800441923088,0.8100340754238232,0.057477351485340875,0.020508655300090328,0.001846867104273691,90
[4],30,Mackey_Glass,1.2610367248975376e-06,3.112315377132604e-07,0.0048187348279372195,0.0006799897613726019,8.566865314814839e-07,1.985148236450438e-07,90
[4],30,SP500_RV,0.004900178517297067,0.000597962531626753,0.7741414379926329,0.04656084410803602,0.007161400399235906,0.0012310134506696077,90
"[2, 3]",15,NARMA10,0.006308993801229267,0.0007080651198148912,0.7666945849630653,0.07029111975542059,0.02012111040374341,0.003182415347076064,90
"[2, 3]",15,Mackey_Glass,1.2846600386162525e-06,3.508746238086464e-07,0.004860500569230509,0.0007647574459365674,8.465783483209884e-07,2.1325149994865572e-07,90
"[2, 3]",15,SP500_RV,0.004406372464411275,0.00025677640168247467,0.7347740974713067,0.02152297708238608,0.006406694516909953,0.000376054628990409,90
"[3, 4]",15,NARMA10,0.006805271318434538,0.0010096089803957962,0.7938242784111201,0.050231485337156226,0.020778108018891673,0.00222351883727989,90
"[3, 4]",15,Mackey_Glass,1.159559814352709e-06,3.528643049903971e-07,0.0046119953798316425,0.0007871449887476089,7.404083758362952e-07,2.6076918225470934e-07,90
"[3, 4]",15,SP500_RV,0.004500688207452065,0.00021348412406877406,0.7426682251567586,0.017680532989076195,0.006422548213952164,0.0003523162826958918,90
"[2, 4]",15,NARMA10,0.0065664517289465004,0.0006920105030065784,0.7814661592223837,0.05470803547890082,0.02043648234590145,0.002544646415060084,90
"[2, 4]",15,Mackey_Glass,1.1776495912039191e-06,3.5563375596615413e-07,0.004647997952291757,0.0007845111619431628,7.512413603782962e-07,2.59628549016215e-07,90
"[2, 4]",15,SP500_RV,0.004632127955371594,0.00034391520458039286,0.7532228740472325,0.028294734255888798,0.006553213728223824,0.00046140833386258126,90
"[2, 3, 4]",10,NARMA10,0.0062368062473416135,0.000611210571783526,0.7625554134423541,0.06731902379072614,0.019869231450288388,0.0028197563967908928,90
"[2, 3, 4]",10,Mackey_Glass,1.1157172993411736e-06,2.7741634600526313e-07,0.004532861966324215,0.00064873300454949,7.201722648549532e-07,1.7701328584252475e-07,90
"[2, 3, 4]",10,SP500_RV,0.005060229132076916,0.00044561142017819454,0.7871210996606489,0.03468674836163004,0.007276608554894005,0.0006288481585527509,90
