n_modes,dataset,MSE_mean,MSE_std,NRMSE_mean,NRMSE_std,QLIKE_mean,QLIKE_std,feature_dim
4,NARMA10,0.005884703942793587,0.0006146302994170944,0.7410313472962325,0.07265373185118577,0.01926640362023659,0.0030230396323650812,30
4,Mackey_Glass,2.0148467610748314e-06,3.8975547314135726e-07,0.006101027215779157,0.000713895686526271,1.4679911444737125e-06,9.011442371528864e-08,30
4,SP500_RV,0.004515792516725844,0.0005255701900504681,0.7432079941934192,0.04344120945927155,0.006027356532655477,0.0005069017628643947,30
6,NARMA10,0.00629167367944596,0.0007512501142903234,0.7652859560055768,0.0683714319051117,0.020201644866429416,0.003320162101782057,30
6,Mackey_Glass,1.4059146158751861e-06,3.0426167808604346e-07,0.005089330816120576,0.0006238535446699564,9.553346583368594e-07,2.22873431622888e-07,30
6,SP500_RV,0.004574400440595095,0.0005280623495883846,0.7480439927916668,0.042979166702713824,0.006473534083685985,0.000759960129297364,30
8,NARMA10,0.006402890734575721,0.0008287202334525287,0.7709490943876373,0.05526844508121383,0.02026215487855414,0.002852779950488256,30
8,Mackey_Glass,1.5239492398900789e-06,3.377795458933077e-07,0.005302025438509282,0.000691118544683938,1.0914597737810007e-06,2.029939669478367e-07,30
8,SP500_RV,0.004040407773679445,0.0002955337907143584,0.7034816400358208,0.02597289806473577,0.005696739627366616,0.0003676285526692873,30
10,NARMA10,0.006039205371787047,0.0006030354982453892,0.7503339409820774,0.06635315951008591,0.01931871691511405,0.0028617915206787703,30
10,Mackey_Glass,1.519281746449138e-06,3.2447897381262656e-07,0.005293649533171731,0.000656096054725793,1.0247997974022205e-06,1.78414837344875e-07,30
10,SP500_RV,0.00418245261933704,0.00041312914806031383,0.7154922111598809,0.03509512545474503,0.005895984326491952,0.000527320268933464,30
