platform,protocol,steps,shots,modes,photons,reservoirs,device,simulation,classical,lift,corr_mean,corr_min,wall_s,drop_rate,raw_counts_per_step,job_state,train_rows,feature_dim
local:slos,replay,120,5000,10,2,1.0,0.44341640634342366,0.5018426454875476,0.3637044133327181,0.8202321973874619,0.9997065334081593,0.9974603802889553,7.855200290679932,,,,,
qpu:belenos,COMBINED[6 slices],126,5000,10,2,,0.8360164441590859,0.5487194105444086,0.4971003258390682,0.5946059187138127,0.8224426733310198,0.5166544972661992,,,,,66.0,65.0
qpu:belenos,slice[1c9828be],20,4000,10,2,,1.0021354422742632,0.9613193032472824,1.039012885722934,1.036798861603957,0.8053597675376347,0.7296783561813796,,0.15207500000000002,4000.0,completed,,
qpu:belenos,slice[38587a22],120,20000,10,2,,1.8504920774065923,1.3681025022448619,1.3668345722621948,0.738633031154487,0.8301066753537185,0.806270712214067,,0.14840378149953332,19482.15,canceled,,
qpu:belenos,slice[9bd40d7d],22,5000,10,2,,2.7249212242697656,1.614401961625666,2.863981843180115,1.0510328950693302,0.8182693178984448,0.7385314159603915,,0.14886363636363634,5000.0,completed,,
qpu:belenos,slice[bc8d1e9d],17,4000,10,2,,1.1088424890221522,1.1702367725812841,1.0295682436369895,0.928507208039014,0.8183392135012686,0.6963966884430964,,0.14805882352941177,4000.0,completed,,
qpu:belenos,slice[bcd29e65],22,5000,10,2,,1.2955530607215342,1.2297893141817304,1.2296856466465989,0.9491588449196734,0.8099171056427065,0.7045324169601448,,0.13740909090909093,5000.0,completed,,
qpu:belenos,slice[cdf9aeae],48,5000,10,2,,1.005981044546677,1.0062447157495369,1.005834374546231,0.9998542020237448,0.8130259723415524,0.5166544972661992,,0.14781739130434782,5000.0,canceled,,
qpu:belenos,slice[ceaf9b1a],18,20000,10,2,,1.0001339432512224,1.0000881431860396,1.0000695014782628,0.999935566857425,0.8444389687803171,0.7764948049595737,,0.14441388888888887,20000.0,completed,,
qpu:belenos,slice[ddc7dbb8],22,5000,10,2,,1.0173575236032215,1.0228130692699315,0.8577284910936231,0.8430944591197076,0.8234669772209007,0.7939372716508997,,0.15136363636363637,5000.0,canceled,,
sim:ascella,openloop,600,8000,12,2,2.0,0.34741589917943927,0.2817091959866911,0.42296159210563616,1.2174503041013036,0.999012649540972,0.99489568880091,816.4851849079132,,,,,
sim:ascella,replay,600,8000,12,2,2.0,0.39313881417194585,0.2898304800159273,0.42296159210563616,1.0758581367665387,0.9988388676592354,0.9936922052377424,776.070671081543,,,,,
sim:slos,replay,600,8000,12,2,2.0,0.4211026795851242,0.2898304800159273,0.42296159210563616,1.0044143925237983,0.9997547305664134,0.9966705206409276,477.66957998275757,,,,,
