dataset,g_fb,seed,nrmse
narma10,0.0,42,0.08225643304691499
narma10,0.005,42,0.08384987059624202
narma10,0.01,42,0.0833983805837433
narma10,0.02,42,0.08260777799146325
narma10,0.05,42,0.11279992390979406
narma10,0.1,42,0.09237120569828376
narma10,0.3,42,0.07224768331368168
narma10,0.6,42,0.9837792144664212
narma10,1.0,42,1.010018058400719
narma10,2.0,42,0.938996572298844
narma10,3.0,42,0.9467144999902117
narma10,0.0,43,0.0843759403199592
narma10,0.005,43,0.09875827932333921
narma10,0.01,43,0.09859834182570149
narma10,0.02,43,0.08738508972541428
narma10,0.05,43,0.137784736766669
narma10,0.1,43,0.10634672738476296
narma10,0.3,43,0.1191304381491846
narma10,0.6,43,1.0231448812164203
narma10,1.0,43,0.9550192168106579
narma10,2.0,43,0.9974030922245178
narma10,3.0,43,0.9417706908019445
narma10,0.0,44,0.13438597645027045
narma10,0.005,44,0.1365363825165094
narma10,0.01,44,0.1361089932778059
narma10,0.02,44,0.1419482195628159
narma10,0.05,44,0.142497264078803
narma10,0.1,44,0.11581284448762567
narma10,0.3,44,0.101772208038509
narma10,0.6,44,1.0504700554336672
narma10,1.0,44,0.919718866186934
narma10,2.0,44,0.8783911452550293
narma10,3.0,44,1.007746805708511
narma10,0.0,45,0.09580074549849382
narma10,0.005,45,0.10013562268562602
narma10,0.01,45,0.0946687324632248
narma10,0.02,45,0.08740441420683903
narma10,0.05,45,0.08102983274953804
narma10,0.1,45,0.07135060648072014
narma10,0.3,45,0.1064861616925481
narma10,0.6,45,1.2246599074847355
narma10,1.0,45,1.03693679829094
narma10,2.0,45,0.937347931399688
narma10,3.0,45,1.0059178042146453
narma10,0.0,46,0.09369328625846168
narma10,0.005,46,0.07921702491597925
narma10,0.01,46,0.07934595430055408
narma10,0.02,46,0.07999058556381373
narma10,0.05,46,0.08249725312869188
narma10,0.1,46,0.10517083765717715
narma10,0.3,46,0.10468521242784438
narma10,0.6,46,1.1013352716240834
narma10,1.0,46,1.1688168911931531
narma10,2.0,46,1.134618320600993
narma10,3.0,46,1.1520185947169361
