shots,seed,nrmse
1000,42,0.42217867602166104
3000,42,0.4947400211465583
10000,42,0.3847916190744917
30000,42,0.33170722677948095
100000,42,0.2833770941886202
300000,42,0.2819039910506833
1000000,42,0.26595271657697295
0,42,0.24829534600474837
1000,43,0.3547130235312268
3000,43,0.3686427823104929
10000,43,0.38393577293720305
30000,43,0.30886663933469577
100000,43,0.33661054814269936
300000,43,0.3098660850457805
1000000,43,0.3106759062186435
0,43,0.303900982843801
1000,44,0.47739036918333927
3000,44,0.3949851811645934
10000,44,0.4286163358944345
30000,44,0.3230907430483261
100000,44,0.2955231369699078
300000,44,0.2618494519675488
1000000,44,0.2729978534433986
0,44,0.2722025533720372
