system,seed,feature_dim,linear_mc,ipc_total,ipc_per_feature,degree_1,degree_2,degree_3
photonic,42,132,11.193654094268943,73.31539989876036,0.55541969620273,8.76734706110396,30.783802735649495,33.764250102006905
photonic_no_feedback,42,132,10.469329140352338,113.33037532102813,0.8585634494017282,9.0531706512065,42.833282080989164,61.443922588832464
esn_200,42,201,26.63735986395337,122.3767709036261,0.6088396562369458,9.99513880360873,43.00485037206953,69.37678172794783
esn_500,42,501,29.57302484873914,218.84388834892454,0.436814148401047,9.998272862333145,52.8262981646225,156.01931732196888
linear_window_20,42,20,19.11499059892215,13.080424781763382,0.6540212390881691,10.0,0.5429972444024419,2.537427537360941
photonic,43,132,10.878379722218996,66.54012818772986,0.5040918802100747,8.682844645456903,27.953325002061696,29.903958540211267
photonic_no_feedback,43,132,10.580841428356399,111.94833908145694,0.8480934778898253,9.080720799808285,41.571262574377215,61.29635570727144
esn_200,43,201,26.674392201549978,129.76887443526914,0.6456162907227321,9.9963435626236,42.008281949170694,77.76424892347485
esn_500,43,501,29.655743477707574,211.47802161232337,0.4221118195854758,9.998523127762212,52.43010307677176,149.0493954077894
linear_window_20,43,20,19.159636873332154,13.139259690703332,0.6569629845351665,10.0,0.7814116301092091,2.3578480605941223
photonic,44,132,11.101180537758575,68.003072715063,0.5151747932959319,8.640417731021316,29.991140524263333,29.371514459778357
photonic_no_feedback,44,132,10.54270547082616,110.48456042524307,0.8370042456457809,9.063156871589499,42.5455628703143,58.87584068333928
esn_200,44,201,27.628758666302264,119.63226044978157,0.5951853753720476,9.99789357636303,47.40939501480712,62.224971858611426
esn_500,44,501,29.556152812012805,211.369481692703,0.42189517303932733,9.998375249077126,53.21348960065864,148.15761684296723
linear_window_20,44,20,19.130623907049188,12.866890162738176,0.6433445081369088,10.0,0.5128639734992781,2.3540261892388976
